path,role,size_bytes,sha256,line_count,instruction_count,org_count,db_directive_count,db_source_bytes,uses_tabl,uses_tabh,call_count,jmp_count,sram_addresses,highest_written_word,span_words,hole_words,overlap_count,out_of_range_count,bin_artifacts,map_artifacts
avatar_db_paged_check/main.asm,example_or_application,8941,bc5fde7190fb438cb84e40c203667cf8c825f0cb271d5123b240822a7c5ccbe3,352,239,8,32,512,True,True,66,15,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8C 0x8D 0x8F 0x90 0x92 0x93 0x9F 0xA1 0xA2 0xA4 0xA6 0xA7 0xA8 0xA9 0xAA 0xAB 0xAD 0xAE 0xAF 0xB1 0xB5 0xB6 0xB7 0xB9 0xBA 0xBB 0xBD 0xBE 0xBF,0x033D,830,335,0,0,,
hello_db_tabl_tabh_hxd_probe.asm,probe,2423,9b69a447e27fab66c9f8ccb0e80d62077929bffcbed4cdd797befe0a5f8cdb98,120,67,3,2,16,True,True,0,2,0x90 0x91 0x92 0x93 0x94 0x95 0x96 0x97 0x98 0x99 0x9A 0x9B 0x9C 0x9D 0x9E 0x9F 0xAA,0x0061,98,23,0,0,build/hello_db_tabl_tabh_hxd_probe.bin,build/hello_db_tabl_tabh_hxd_probe.map
pa0_pa5_led_marquee.asm,example_or_application,3400,31cedb29f3d8cd3a9a921c601fe9db5902c4c35243de382afa83bdb018980c07,128,45,3,0,0,False,False,7,5,0x80 0x81 0x82,0x004A,75,30,0,0,.embeddedskills/build/pa0_pa5_led_marquee.bin,.embeddedskills/build/pa0_pa5_led_marquee.map
probe_db_layout_0x.asm,probe,129,fe3f9bd70afd956a8f7dfe3c11cb00204b7ba314769882e18ab7dba76dd7418e,9,2,3,1,8,False,False,0,2,0x9A 0xBC,0x0010,17,11,0,0,build/probe_db_layout_0x.bin,build/probe_db_layout_0x.map
probe_db_layout_new.asm,probe,185,5b6cb07c00669ae5b9838f096f2001dc3520e3bdb119941e3f33eb59ee6fe8d4,16,8,3,1,4,True,True,0,2,0x80 0x81,0x0016,23,13,0,0,build/probe_db_layout_new.bin,build/probe_db_layout_new.map
probe_db_layout_values.asm,probe,121,c27cc5c974b990bb720d246d9a360a7d3906286bdccabd598d4ae9c47a3d0113,9,2,3,1,8,False,False,0,2,0x9A 0xBC,0x0010,17,11,0,0,build/probe_db_layout_values.bin,build/probe_db_layout_values.map
probe_db_table.asm,probe,189,5991db0aa3820db1fe29d583b24ee570fe3bd4e8c7e20bd387e8079878a67fa3,16,8,3,1,4,True,True,0,2,0x80 0x81,0x0081,130,120,0,0,.embeddedskills/build/probe_db_table.bin,.embeddedskills/build/probe_db_table.map
probe_dw_table.asm,probe,38,d8177f9470501268fc5b8cb2b0b86d21f08a24d0922e8fce8337ec2c92b93809,4,0,1,0,0,False,False,0,0,,,0,0,0,0,,
probe_hexword_table.asm,probe,34,858c3e22cf7a1b2224cc45de763b3913e357f43dc97af240d320ecd9d1b8c47f,4,0,1,0,0,False,False,0,0,,,0,0,0,0,.embeddedskills/build/probe_hexword_table.bin,.embeddedskills/build/probe_hexword_table.map
probe_rawword_table.asm,probe,35,1ac0efc6dcce52609234672af30c521860b132671b7e219bf266fd42c6c654c3,4,0,1,0,0,False,False,0,0,,,0,0,0,0,.embeddedskills/build/probe_rawword_table.bin,.embeddedskills/build/probe_rawword_table.map
